6.435746753246752405e+02,4.426818181818182438e+02
6.435746753246752405e+02,5.634204545454546178e+02
7.206850649350649292e+02,4.386233766233766573e+02
7.145974025974026063e+02,5.593620129870130313e+02
2.701980519480517842e+02,4.487694805194805667e+02
2.671542207792206227e+02,4.984853896103896886e+02
3.097678571428569967e+02,4.497840909090908781e+02
3.117970779220778468e+02,4.974707792207792636e+02
2.661396103896103114e+02,8.454821428571428896e+02
2.620811688311687249e+02,8.982418831168831730e+02
3.117970779220778468e+02,8.393944805194805667e+02
3.117970779220778468e+02,8.921542207792208501e+02
