6.425600649350649292e+02,9.872889610389606219e+01
6.242970779220778468e+02,2.397597402597402549e+02
7.206850649350649292e+02,9.365584415584410749e+01
6.993782467532466853e+02,2.367159090909090366e+02
2.184529220779219258e+02,1.169918831168830877e+02
2.204821428571427759e+02,1.819269480519480169e+02
2.701980519480517842e+02,1.169918831168830877e+02
2.752711038961037957e+02,1.798977272727272236e+02
2.570081168831168270e+02,5.299383116883117282e+02
2.610665584415582998e+02,5.684935064935065157e+02
2.996217532467530873e+02,5.208068181818182438e+02
2.986071428571427759e+02,5.613912337662337677e+02
